scenario,metal,full_ate,n_valid_subsamples,n_sign_agree
dovish_fomc,GC=F,0.005743988499527293,2.0,2.0
dovish_fomc,PA=F,0.01908268719499743,2.0,2.0
dovish_fomc,PL=F,0.005020091277829443,2.0,2.0
dovish_fomc,SI=F,0.0031975020347953824,2.0,1.0
dxy_down_shock,GC=F,0.0011467633881832404,3.0,2.0
dxy_down_shock,PA=F,-0.0236516966362345,3.0,2.0
dxy_down_shock,PL=F,0.0003019180780636918,3.0,1.0
dxy_down_shock,SI=F,-0.0056004771802365995,3.0,1.0
dxy_up_shock,GC=F,0.004016811001486333,3.0,3.0
dxy_up_shock,PA=F,0.012473487978970646,3.0,2.0
dxy_up_shock,PL=F,-0.009120796376010423,3.0,3.0
dxy_up_shock,SI=F,0.0023884927967964217,3.0,3.0
gpr_spike,GC=F,-0.008910845791021976,3.0,2.0
gpr_spike,PA=F,0.0027789282442643023,3.0,2.0
gpr_spike,PL=F,7.055482673765504e-05,3.0,0.0
gpr_spike,SI=F,-0.00187558422683432,3.0,2.0
hawkish_fomc,GC=F,-0.014349241213378355,3.0,3.0
hawkish_fomc,PA=F,-0.016123094978552584,2.0,1.0
hawkish_fomc,PL=F,-0.016832144186715744,3.0,3.0
hawkish_fomc,SI=F,-0.029533804006386416,3.0,3.0
